plotID,plot,size,structure,species,n,k
86JJ,86JJ-02-01,4,TB-semai,Sayar,1,0
86JJ,86JJ-02-01,4,TB-semai,Salam,20,0
86JJ,86JJ-02-01,4,TB-semai,Ki ganik,2,0
86JJ,86JJ-02-01,4,TB-semai,Langkap,10,0
86JJ,86JJ-02-01,25,Pancang,Ki jahe,2,0
86JJ,86JJ-02-01,25,Pancang,Songgom,3,0
86JJ,86JJ-02-01,25,Pancang,Lampeni ,6,0
86JJ,86JJ-02-01,25,Pancang,Ipis Kulit,1,0
86JJ,86JJ-02-01,100,Tiang,Langkap,1,30
86JJ,86JJ-02-01,100,Tiang,Langkap,1,35
86JJ,86JJ-02-01,100,Tiang,Langkap,1,42
86JJ,86JJ-02-01,100,Tiang,Langkap,1,36
86JJ,86JJ-02-01,100,Tiang,Langkap,1,43
86JJ,86JJ-02-01,100,Tiang,Ki ganik,1,40
86JJ,86JJ-02-01,100,Tiang,Ipis Kulit,1,36
86JJ,86JJ-02-01,100,Tiang,Ipis Kulit,1,40
86JJ,86JJ-02-01,400,Pohon,Ki ganik,1,120
86JJ,86JJ-02-01,400,Pohon,Ipis Kulit,1,96
86JJ,86JJ-02-01,400,Pohon,Teureup,1,115
86JJ,86JJ-02-01,400,Pohon,Ki ganik,1,370
86JJ,86JJ-02-01,400,Pohon,Salam,1,350
86JJ,86JJ-02-01,400,Pohon,Ki tambaga,1,105
86JJ,86JJ-02-02,4,TB-semai,Bingbin,2,0
86JJ,86JJ-02-02,4,TB-semai,Lolo,1,0
86JJ,86JJ-02-02,4,TB-semai,Putat,1,0
86JJ,86JJ-02-02,4,TB-semai,Ki genteul,1,0
86JJ,86JJ-02-02,4,TB-semai,Ki huut,2,0
86JJ,86JJ-02-02,4,TB-semai,Tundun sayong,1,0
86JJ,86JJ-02-02,4,TB-semai,Langkap,2,0
86JJ,86JJ-02-02,25,Pancang,Ki mokla,1,0
86JJ,86JJ-02-02,25,Pancang,Ipis Kulit,1,0
86JJ,86JJ-02-02,25,Pancang,Ki jahe,1,0
86JJ,86JJ-02-02,25,Pancang,Ki lalayu,2,0
86JJ,86JJ-02-02,25,Pancang,Ki caang,1,0
86JJ,86JJ-02-02,100,Tiang,Ki calung,1,33
86JJ,86JJ-02-02,100,Tiang,Langkap,1,35
86JJ,86JJ-02-02,100,Tiang,Langkap,1,30
86JJ,86JJ-02-02,100,Tiang,Langkap,1,42
86JJ,86JJ-02-02,100,Tiang,Langkap,1,43
86JJ,86JJ-02-02,400,Pohon,Padali,1,150
86JJ,86JJ-02-02,400,Pohon,Ki tambaga,1,100
86JJ,86JJ-02-02,400,Pohon,Laban,1,255
86JJ,86JJ-02-02,400,Pohon,Kadongdong,1,120
86JJ,86JJ-02-02,400,Pohon,Ki batok,1,120
86JJ,86JJ-02-03,4,TB-semai,Cariang,2,0
86JJ,86JJ-02-03,4,TB-semai,Rotan,1,0
86JJ,86JJ-02-03,4,TB-semai,Peuris,3,0
86JJ,86JJ-02-03,4,TB-semai,Salam,4,0
86JJ,86JJ-02-03,4,TB-semai,Ki lilin,1,0
86JJ,86JJ-02-03,4,TB-semai,Ki huut,2,0
86JJ,86JJ-02-03,25,Pancang,Songgom,2,0
86JJ,86JJ-02-03,25,Pancang,Sauheun,1,0
86JJ,86JJ-02-03,100,Tiang,Langkap,1,36
86JJ,86JJ-02-03,100,Tiang,Langkap,1,44
86JJ,86JJ-02-03,100,Tiang,Langkap,1,52
86JJ,86JJ-02-03,100,Tiang,Langkap,1,48
86JJ,86JJ-02-03,100,Tiang,Langkap,1,36
86JJ,86JJ-02-03,100,Tiang,Buluh,1,40
86JJ,86JJ-02-03,400,Pohon,Leungsir,1,270
86JJ,86JJ-02-03,400,Pohon,Teureup,1,150
86JJ,86JJ-02-03,400,Pohon,Ki jahe,1,150
86JJ,86JJ-02-03,400,Pohon,Ki kacang,1,100
86JJ,86JJ-02-04,4,TB-semai,Ki genteul,4,0
86JJ,86JJ-02-04,4,TB-semai,Salam,5,0
86JJ,86JJ-02-04,4,TB-semai,Sauheun,1,0
86JJ,86JJ-02-04,4,TB-semai,Langkap,8,0
86JJ,86JJ-02-04,25,Pancang,Heucit,2,0
86JJ,86JJ-02-04,25,Pancang,Ki genteul,2,0
86JJ,86JJ-02-04,25,Pancang,Songgom,1,0
86JJ,86JJ-02-04,100,Tiang,Langkap,1,30
86JJ,86JJ-02-04,100,Tiang,Langkap,1,36
86JJ,86JJ-02-04,100,Tiang,Heucit,1,40
86JJ,86JJ-02-04,400,Pohon,Ki genteul,1,152
86JJ,86JJ-02-04,400,Pohon,Gadog,1,150
86JJ,86JJ-02-04,400,Pohon,Ki ganik,1,230
86JJ,86JJ-02-04,400,Pohon,Teureup,1,300
86JJ,86JJ-02-05,4,TB-semai,Cariang,4,0
86JJ,86JJ-02-05,4,TB-semai,Salam,4,0
86JJ,86JJ-02-05,4,TB-semai,Tundun sayong,6,0
86JJ,86JJ-02-05,4,TB-semai,Langkap,8,0
86JJ,86JJ-02-05,25,Pancang,Buluh,1,0
86JJ,86JJ-02-05,25,Pancang,Ki segel,1,0
86JJ,86JJ-02-05,25,Pancang,Langkap,4,0
86JJ,86JJ-02-05,100,Tiang,Ki segel,1,43
86JJ,86JJ-02-05,100,Tiang,Langkap,1,32
86JJ,86JJ-02-05,100,Tiang,Langkap,1,36
86JJ,86JJ-02-05,100,Tiang,Langkap,1,42
86JJ,86JJ-02-05,100,Tiang,Langkap,1,51
86JJ,86JJ-02-05,100,Tiang,Langkap,1,40
86JJ,86JJ-02-05,100,Tiang,Ki ganik,1,56
86JJ,86JJ-02-05,400,Pohon,Ki segel,1,73
86JJ,86JJ-02-05,400,Pohon,Ki ganik,1,96
86JJ,86JJ-02-05,400,Pohon,Huru,1,300
86JJ,86JJ-02-05,400,Pohon,Ipis Kulit,1,70
86JJ,86JJ-02-05,400,Pohon,Ki segel,1,88
86JJ,86JJ-18-01,4,TB-semai,Hata,6,0
86JJ,86JJ-18-01,4,TB-semai,Amis mata,8,0
86JJ,86JJ-18-01,4,TB-semai,Areuy asahan,4,0
86JJ,86JJ-18-01,4,TB-semai,Tepus,6,0
86JJ,86JJ-18-01,4,TB-semai,Hareumeung,5,0
86JJ,86JJ-18-01,4,TB-semai,Ki jahe,1,0
86JJ,86JJ-18-01,4,TB-semai,Padali,3,0
86JJ,86JJ-18-01,4,TB-semai,Salam,2,0
86JJ,86JJ-18-01,4,TB-semai,Peuris,4,0
86JJ,86JJ-18-01,25,Pancang,Sempur,2,0
86JJ,86JJ-18-01,25,Pancang,Peuris,4,0
86JJ,86JJ-18-01,25,Pancang,Sulangkar,3,0
86JJ,86JJ-18-01,25,Pancang,Haringin,1,0
86JJ,86JJ-18-01,100,Tiang,Haringin,1,32
86JJ,86JJ-18-01,100,Tiang,Benger,1,40
86JJ,86JJ-18-01,100,Tiang,Benger,1,35
86JJ,86JJ-18-01,100,Tiang,Benger,1,30
86JJ,86JJ-18-01,100,Tiang,Laban,1,45
86JJ,86JJ-18-01,100,Tiang,Kanyere,1,30
86JJ,86JJ-18-01,100,Tiang,Haringin,1,35
86JJ,86JJ-18-01,400,Pohon,Kanyere,1,100
86JJ,86JJ-18-01,400,Pohon,Bisoro,1,110
86JJ,86JJ-18-01,400,Pohon,Bungur,1,90
86JJ,86JJ-18-01,400,Pohon,Laban,1,110
86JJ,86JJ-18-02,4,TB-semai,Tepus,8,0
86JJ,86JJ-18-02,4,TB-semai,Sulangkar,4,0
86JJ,86JJ-18-02,4,TB-semai,Daruak,3,0
86JJ,86JJ-18-02,4,TB-semai,Huru,1,0
86JJ,86JJ-18-02,4,TB-semai,Peuris,5,0
86JJ,86JJ-18-02,25,Pancang,Kopi,1,0
86JJ,86JJ-18-02,25,Pancang,Songgom,2,0
86JJ,86JJ-18-02,25,Pancang,Benger,2,0
86JJ,86JJ-18-02,25,Pancang,Poreket,3,0
86JJ,86JJ-18-02,25,Pancang,Huni,1,0
86JJ,86JJ-18-02,25,Pancang,Carelang,6,0
86JJ,86JJ-18-02,100,Tiang,Bungur,1,40
86JJ,86JJ-18-02,100,Tiang,Bisoro,1,40
86JJ,86JJ-18-02,100,Tiang,Benger,1,110
86JJ,86JJ-18-02,400,Pohon,Benger,1,120
86JJ,86JJ-18-02,400,Pohon,Benger,1,135
86JJ,86JJ-18-02,400,Pohon,Laban,1,100
86JJ,86JJ-18-03,4,TB-semai,Areuy gadel,10,0
86JJ,86JJ-18-03,4,TB-semai,Oar,4,0
86JJ,86JJ-18-03,4,TB-semai,Peuris,3,0
86JJ,86JJ-18-03,25,Pancang,Benger,4,0
86JJ,86JJ-18-03,25,Pancang,Sulangkar,2,0
86JJ,86JJ-18-03,100,Tiang,Benger,1,30
86JJ,86JJ-18-03,100,Tiang,Benger,1,57
86JJ,86JJ-18-03,100,Tiang,Benger,1,40
86JJ,86JJ-18-03,400,Pohon,Kenal,1,120
86JJ,86JJ-18-03,400,Pohon,Kenal,1,99
86JJ,86JJ-18-03,400,Pohon,Laban,1,105
86JJ,86JJ-18-03,400,Pohon,Benger,1,130
86JJ,86JJ-18-03,400,Pohon,Bisoro,1,86
86JJ,86JJ-18-04,4,TB-semai,Areuy gadel,15,0
86JJ,86JJ-18-04,4,TB-semai,Cangkuang,1,0
86JJ,86JJ-18-04,4,TB-semai,Oar,3,0
86JJ,86JJ-18-04,4,TB-semai,Sulangkar,3,0
86JJ,86JJ-18-04,4,TB-semai,Bisoro,1,0
86JJ,86JJ-18-04,25,Pancang,Daruak,3,0
86JJ,86JJ-18-04,25,Pancang,Songgom,4,0
86JJ,86JJ-18-04,25,Pancang,Kanyere,1,0
86JJ,86JJ-18-04,100,Tiang,Benger,1,35
86JJ,86JJ-18-04,100,Tiang,Kanyere,1,30
86JJ,86JJ-18-04,100,Tiang,Daruak,1,35
86JJ,86JJ-18-04,100,Tiang,Benger,1,33
86JJ,86JJ-18-04,400,Pohon,Sempur,1,190
86JJ,86JJ-18-04,400,Pohon,Gempol,1,130
86JJ,86JJ-18-04,400,Pohon,Gempol,1,150
86JJ,86JJ-18-04,400,Pohon,Gempol,1,109
86JJ,86JJ-18-04,400,Pohon,Bungur,1,100
86JJ,86JJ-18-05,4,TB-semai,Areuy gadel,20,0
86JJ,86JJ-18-05,4,TB-semai,Hareumeung,2,0
86JJ,86JJ-18-05,4,TB-semai,Sulangkar,4,0
86JJ,86JJ-18-05,4,TB-semai,Ki jahe,1,0
86JJ,86JJ-18-05,4,TB-semai,Lampeni ,2,0
86JJ,86JJ-18-05,25,Pancang,Sulangkar,3,0
86JJ,86JJ-18-05,25,Pancang,Sempur,1,0
86JJ,86JJ-18-05,25,Pancang,Songgom,4,0
86JJ,86JJ-18-05,100,Tiang,Benger,1,31
86JJ,86JJ-18-05,100,Tiang,Kanyere,1,40
86JJ,86JJ-18-05,100,Tiang,Benger,1,43
86JJ,86JJ-18-05,400,Pohon,Bungur,1,105
86JJ,86JJ-18-05,400,Pohon,Benger,1,80
21MY,21MY-19-01,4,TB-semai,Papakuan,7,0
21MY,21MY-19-01,4,TB-semai,Jampang,36,0
21MY,21MY-19-01,4,TB-semai,Daruak,1,0
21MY,21MY-19-01,4,TB-semai,Mara,1,0
21MY,21MY-19-01,4,TB-semai,Harendong,3,0
21MY,21MY-19-01,4,TB-semai,Sulangkar,1,0
21MY,21MY-19-01,25,Pancang,Kanyere,1,0
21MY,21MY-19-01,25,Pancang,Daruak,3,0
21MY,21MY-19-01,25,Pancang,Peuris,1,0
21MY,21MY-19-01,25,Pancang,Gompong,1,0
21MY,21MY-19-01,100,Tiang,Laban,1,40
21MY,21MY-19-01,400,Pohon,Lame,1,350
21MY,21MY-19-01,400,Pohon,Jengkol,1,150
21MY,21MY-19-01,400,Pohon,Jengkol,1,100
21MY,21MY-19-02,4,TB-semai,Jampang beureum,25,0
21MY,21MY-19-02,4,TB-semai,Papakuan,10,0
21MY,21MY-19-02,4,TB-semai,Daruak,4,0
21MY,21MY-19-02,4,TB-semai,Sulangkar,1,0
21MY,21MY-19-02,4,TB-semai,Kondang,1,0
21MY,21MY-19-02,4,TB-semai,Laban,1,0
21MY,21MY-19-02,4,TB-semai,Singugu,1,0
21MY,21MY-19-02,25,Pancang,Tangkil,2,0
21MY,21MY-19-02,25,Pancang,Cengkeh,4,0
21MY,21MY-19-02,25,Pancang,Jengkol,3,0
21MY,21MY-19-02,400,Pohon,Laban,1,150
21MY,21MY-19-02,400,Pohon,Jengkol,1,96
21MY,21MY-19-02,400,Pohon,Laban,1,100
21MY,21MY-19-03,4,TB-semai,Areuy canar,5,0
21MY,21MY-19-03,4,TB-semai,Papakuan,2,0
21MY,21MY-19-03,4,TB-semai,Laban,1,0
21MY,21MY-19-03,4,TB-semai,Daruak,4,0
21MY,21MY-19-03,25,Pancang,Gompong,1,0
21MY,21MY-19-03,25,Pancang,Lame,1,0
21MY,21MY-19-03,25,Pancang,Mara,1,0
21MY,21MY-19-03,25,Pancang,Jengkol,1,0
21MY,21MY-19-03,100,Tiang,Jengkol,1,45
21MY,21MY-19-03,100,Tiang,Cengkeh,1,36
21MY,21MY-19-03,400,Pohon,Jengkol,1,120
21MY,21MY-19-03,400,Pohon,Pete,1,110
21MY,21MY-19-04,4,TB-semai,Parasi,3,0
21MY,21MY-19-04,4,TB-semai,Kaman,4,0
21MY,21MY-19-04,4,TB-semai,Harendong,4,0
21MY,21MY-19-04,4,TB-semai,Singugu,2,0
21MY,21MY-19-04,25,Pancang,Tangkil,1,0
21MY,21MY-19-04,25,Pancang,Jengkol,1,0
21MY,21MY-19-04,25,Pancang,Peuris,1,0
21MY,21MY-19-04,100,Tiang,Cengkeh,1,40
21MY,21MY-19-04,100,Tiang,Jengkol,1,36
21MY,21MY-19-04,100,Tiang,Cengkeh,1,42
21MY,21MY-19-04,400,Pohon,Ceuri,1,110
21MY,21MY-19-04,400,Pohon,Lame,1,350
21MY,21MY-19-04,400,Pohon,Jengkol,1,96
21MY,21MY-19-04,400,Pohon,Lame,1,120
21MY,21MY-19-05,4,TB-semai,Papakuan,3,0
21MY,21MY-19-05,4,TB-semai,Cariang,6,0
21MY,21MY-19-05,4,TB-semai,Hata,3,0
21MY,21MY-19-05,4,TB-semai,Areuy canar,4,0
21MY,21MY-19-05,4,TB-semai,Daruak,3,0
21MY,21MY-19-05,4,TB-semai,Peuris,1,0
21MY,21MY-19-05,4,TB-semai,Cente,1,0
21MY,21MY-19-05,25,Pancang,Daruak,3,0
21MY,21MY-19-05,25,Pancang,Songgom,2,0
21MY,21MY-19-05,100,Tiang,Laban,1,35
21MY,21MY-19-05,100,Tiang,Tangkil,1,40
21MY,21MY-19-05,100,Tiang,Daruak,1,40
21MY,21MY-19-05,400,Pohon,Jengkol,1,110
21MY,21MY-19-05,400,Pohon,Laban,1,250
21MY,21MY-19-05,400,Pohon,Laban,1,300
21MY,21MY-19-05,400,Pohon,Lame,1,200
56BB,56BB-42-01,4,TB-semai,Ki barela,3,0
56BB,56BB-42-01,4,TB-semai,Mahoni,4,0
56BB,56BB-42-01,4,TB-semai,Ki puak,2,0
56BB,56BB-42-01,4,TB-semai,Ki asahan,5,0
56BB,56BB-42-01,4,TB-semai,Sayar,1,0
56BB,56BB-42-01,25,Pancang,Songgom,2,0
56BB,56BB-42-01,25,Pancang,Mahoni,10,0
56BB,56BB-42-01,25,Pancang,Wareng,1,0
56BB,56BB-42-01,25,Pancang,Harendong,5,0
56BB,56BB-42-01,25,Pancang,Ki teja,5,0
56BB,56BB-42-01,25,Pancang,Katumpang,3,0
56BB,56BB-42-01,25,Pancang,Songgom,3,0
56BB,56BB-42-01,25,Pancang,Jejerukan,1,0
56BB,56BB-42-01,25,Pancang,Jajambuan,17,0
56BB,56BB-42-01,25,Pancang,Tuak kalapa,6,0
56BB,56BB-42-01,25,Pancang,Sayar,1,0
56BB,56BB-42-01,25,Pancang,Huru,1,0
56BB,56BB-42-01,100,Tiang,Peuris,1,54
56BB,56BB-42-01,100,Tiang,Laban,1,44
56BB,56BB-42-01,400,Pohon,Peuris,1,63
56BB,56BB-42-01,400,Pohon,Mahoni,1,90
56BB,56BB-42-01,400,Pohon,Laban,1,91
56BB,56BB-42-01,400,Pohon,Mahoni,1,132
56BB,56BB-42-01,400,Pohon,Mahoni,1,105
56BB,56BB-42-01,400,Pohon,Mahoni,1,96
56BB,56BB-42-01,400,Pohon,Peuris,1,141
56BB,56BB-42-01,400,Pohon,Mahoni,1,123
56BB,56BB-42-01,400,Pohon,Mahoni,1,125
56BB,56BB-42-01,400,Pohon,Mahoni,1,95
56BB,56BB-42-02,4,TB-semai,Harendong,4,0
56BB,56BB-42-02,4,TB-semai,Ki barela,2,0
56BB,56BB-42-02,4,TB-semai,Areuy gadel,4,0
56BB,56BB-42-02,4,TB-semai,Parasi,7,0
56BB,56BB-42-02,4,TB-semai,Peuris,20,0
56BB,56BB-42-02,4,TB-semai,Ki segel,3,0
56BB,56BB-42-02,4,TB-semai,Harendong,4,0
56BB,56BB-42-02,4,TB-semai,Areuy gadel,4,0
56BB,56BB-42-02,25,Pancang,Tuak kalapa,6,0
56BB,56BB-42-02,25,Pancang,Peuris,3,0
56BB,56BB-42-02,25,Pancang,Songgom,2,0
56BB,56BB-42-02,25,Pancang,Ki endog,2,0
56BB,56BB-42-02,25,Pancang,Salam,3,0
56BB,56BB-42-02,25,Pancang,Mahoni,7,0
56BB,56BB-42-02,25,Pancang,Kawao,1,0
56BB,56BB-42-02,400,Pohon,Dahu,1,82
56BB,56BB-42-02,400,Pohon,Peuris,1,62
56BB,56BB-42-02,400,Pohon,Peuris,1,100
56BB,56BB-42-02,400,Pohon,Mahoni,1,130
56BB,56BB-42-02,400,Pohon,Mahoni,1,86
56BB,56BB-42-02,400,Pohon,Taritih,1,103
56BB,56BB-42-02,400,Pohon,Salam,1,229
56BB,56BB-42-02,400,Pohon,Salam,1,100
56BB,56BB-42-02,400,Pohon,Salam,1,111
56BB,56BB-42-02,400,Pohon,Peuris,1,67
56BB,56BB-42-02,400,Pohon,Kenal,1,67
56BB,56BB-42-02,400,Pohon,Mahoni,1,194
56BB,56BB-42-03,4,TB-semai,Parasi,4,0
56BB,56BB-42-03,4,TB-semai,Harendong bulu,3,0
56BB,56BB-42-03,4,TB-semai,Pandan,3,0
56BB,56BB-42-03,4,TB-semai,Ki asahan,2,0
56BB,56BB-42-03,4,TB-semai,Hata,4,0
56BB,56BB-42-03,4,TB-semai,Carulang,1,0
56BB,56BB-42-03,4,TB-semai,Jingjing kulit,4,0
56BB,56BB-42-03,4,TB-semai,Papakuan,6,0
56BB,56BB-42-03,4,TB-semai,Ki laja,1,0
56BB,56BB-42-03,4,TB-semai,Tuak kalapa,5,0
56BB,56BB-42-03,4,TB-semai,Tangkil,1,0
56BB,56BB-42-03,4,TB-semai,Salam,6,0
56BB,56BB-42-03,4,TB-semai,Jajambuan,4,0
56BB,56BB-42-03,25,Pancang,Songgom,6,0
56BB,56BB-42-03,25,Pancang,Sayar,2,0
56BB,56BB-42-03,25,Pancang,Tuak kalapa,10,0
56BB,56BB-42-03,25,Pancang,Jengkol,2,0
56BB,56BB-42-03,25,Pancang,Mara,1,0
56BB,56BB-42-03,25,Pancang,Ki segel,4,0
56BB,56BB-42-03,25,Pancang,Reem,1,0
56BB,56BB-42-03,25,Pancang,Kacapi,7,0
56BB,56BB-42-03,25,Pancang,Bihbul,3,0
56BB,56BB-42-03,100,Tiang,Jengkol,1,50
56BB,56BB-42-03,400,Pohon,Mahoni,1,102
56BB,56BB-42-03,400,Pohon,Lame,1,77
56BB,56BB-42-03,400,Pohon,Mahoni,1,152
56BB,56BB-42-03,400,Pohon,Laban,1,79
56BB,56BB-42-03,400,Pohon,Mahoni,1,150
56BB,56BB-42-03,400,Pohon,Mahoni,1,186
56BB,56BB-42-03,400,Pohon,Mahoni,1,63
56BB,56BB-42-03,400,Pohon,Ki segel,1,63
56BB,56BB-42-03,400,Pohon,Peuris,1,73
56BB,56BB-42-03,400,Pohon,Laban,1,81
56BB,56BB-42-03,400,Pohon,Peuris,1,66
56BB,56BB-42-03,400,Pohon,Mahoni,1,114
56BB,56BB-42-03,400,Pohon,Mahoni,1,153
56BB,56BB-42-03,400,Pohon,Mahoni,1,153
56BB,56BB-42-04,4,TB-semai,Jajambuan,10,0
56BB,56BB-42-04,4,TB-semai,Papakuan,8,0
56BB,56BB-42-04,4,TB-semai,Sayar,1,0
56BB,56BB-42-04,4,TB-semai,Ki barela,1,0
56BB,56BB-42-04,4,TB-semai,Liana,1,0
56BB,56BB-42-04,4,TB-semai,Ki teja,3,0
56BB,56BB-42-04,4,TB-semai,Salam,6,0
56BB,56BB-42-04,4,TB-semai,Parasi,3,0
56BB,56BB-42-04,25,Pancang,Jajambuan,10,0
56BB,56BB-42-04,25,Pancang,Kacapi,6,0
56BB,56BB-42-04,25,Pancang,Huru,1,0
56BB,56BB-42-04,25,Pancang,Tuak kalapa,1,0
56BB,56BB-42-04,25,Pancang,Lame,1,0
56BB,56BB-42-04,25,Pancang,Ki segel,1,0
56BB,56BB-42-04,100,Tiang,Peuris,1,36
56BB,56BB-42-04,100,Tiang,Laban,1,40
56BB,56BB-42-04,100,Tiang,Jengkol,1,52
56BB,56BB-42-04,100,Tiang,Laban,1,54
56BB,56BB-42-04,100,Tiang,Peuris,1,52
56BB,56BB-42-04,100,Tiang,Peuris,1,43
56BB,56BB-42-04,100,Tiang,Peuris,1,60
56BB,56BB-42-04,400,Pohon,Poreket,1,66
56BB,56BB-42-05,4,TB-semai,Harendong,6,0
56BB,56BB-42-05,4,TB-semai,Tangkur gunung,1,0
56BB,56BB-42-05,4,TB-semai,Papakuan,3,0
56BB,56BB-42-05,4,TB-semai,Parasi,2,0
56BB,56BB-42-05,4,TB-semai,Tuak kalapa,5,0
56BB,56BB-42-05,25,Pancang,Cangkuang,3,0
56BB,56BB-42-05,25,Pancang,Sayar,6,0
56BB,56BB-42-05,25,Pancang,Canar,1,0
56BB,56BB-42-05,25,Pancang,Huru payung,1,0
56BB,56BB-42-05,25,Pancang,Ki lalayu,2,0
56BB,56BB-42-05,25,Pancang,Salam,1,0
56BB,56BB-42-05,25,Pancang,Ki laja,3,0
56BB,56BB-42-05,25,Pancang,Tepus,2,0
56BB,56BB-42-05,25,Pancang,Cangcaratan,2,0
56BB,56BB-42-05,25,Pancang,Peuris,4,0
56BB,56BB-42-05,25,Pancang,Kacapi,3,0
56BB,56BB-42-05,100,Tiang,Ceuri,1,59
56BB,56BB-42-05,100,Tiang,Laban,1,49
56BB,56BB-42-05,400,Pohon,Mahoni,1,76
56BB,56BB-42-05,400,Pohon,Mahoni,1,85
56BB,56BB-42-05,400,Pohon,Peuris,1,89
56BB,56BB-42-05,400,Pohon,Jengkol,1,87
56BB,56BB-42-05,400,Pohon,Laban,1,77
56BB,56BB-43-01,4,TB-semai,Ceuri,4,0
56BB,56BB-43-01,4,TB-semai,Kuhkuran,3,0
56BB,56BB-43-01,4,TB-semai,Harendong,1,0
56BB,56BB-43-01,4,TB-semai,Hanjuang,3,0
56BB,56BB-43-01,4,TB-semai,Sulangkar,3,0
56BB,56BB-43-01,4,TB-semai,Bingbin,1,0
56BB,56BB-43-01,4,TB-semai,Hata,1,0
56BB,56BB-43-01,4,TB-semai,Mahoni,6,0
56BB,56BB-43-01,4,TB-semai,Parasi,2,0
56BB,56BB-43-01,4,TB-semai,Kasongket,7,0
56BB,56BB-43-01,4,TB-semai,Heas,5,0
56BB,56BB-43-01,4,TB-semai,Cariang,3,0
56BB,56BB-43-01,25,Pancang,Salam,2,0
56BB,56BB-43-01,25,Pancang,Bingbin,4,0
56BB,56BB-43-01,25,Pancang,Ki barela,1,0
56BB,56BB-43-01,25,Pancang,Tuak kalapa,2,0
56BB,56BB-43-01,25,Pancang,Ki sereh,1,0
56BB,56BB-43-01,25,Pancang,Huru,2,0
56BB,56BB-43-01,25,Pancang,Ki segel,6,0
56BB,56BB-43-01,25,Pancang,Lampeni ,3,0
56BB,56BB-43-01,25,Pancang,Hanjiat,2,0
56BB,56BB-43-01,25,Pancang,Cangcaratan,2,0
56BB,56BB-43-01,100,Tiang,Laban,1,58
56BB,56BB-43-01,100,Tiang,Peuris,1,43
56BB,56BB-43-01,100,Tiang,Ki sampang,1,50
56BB,56BB-43-01,100,Tiang,Laban,1,42
56BB,56BB-43-01,100,Tiang,Laban,1,56
56BB,56BB-43-01,400,Pohon,Laban,1,110
56BB,56BB-43-01,400,Pohon,Peuris,1,86
56BB,56BB-43-01,400,Pohon,Laban,1,83
56BB,56BB-43-01,400,Pohon,Cangkudu,1,69
56BB,56BB-43-01,400,Pohon,Peuris,1,69
56BB,56BB-43-01,400,Pohon,Laban,1,86
56BB,56BB-43-02,4,TB-semai,Ki teja,8,0
56BB,56BB-43-02,4,TB-semai,Kuhkuran,1,0
56BB,56BB-43-02,4,TB-semai,Bingbin,2,0
56BB,56BB-43-02,4,TB-semai,Papakuan,1,0
56BB,56BB-43-02,4,TB-semai,Ki pare,3,0
56BB,56BB-43-02,4,TB-semai,Ki jahe,1,0
56BB,56BB-43-02,4,TB-semai,Tangkil,1,0
56BB,56BB-43-02,4,TB-semai,Ki segel,2,0
56BB,56BB-43-02,25,Pancang,Bingbin,4,0
56BB,56BB-43-02,25,Pancang,Jirak,2,0
56BB,56BB-43-02,25,Pancang,Ki teja,2,0
56BB,56BB-43-02,25,Pancang,Rotan,1,0
56BB,56BB-43-02,25,Pancang,Ki endog,3,0
56BB,56BB-43-02,25,Pancang,Ki barela,1,0
56BB,56BB-43-02,100,Tiang,Cangkudu,1,49
56BB,56BB-43-02,100,Tiang,Laban,1,42
56BB,56BB-43-02,400,Pohon,Laban,1,90
56BB,56BB-43-02,400,Pohon,Ki sampang,1,64
56BB,56BB-43-02,400,Pohon,Salam,1,76
56BB,56BB-43-02,400,Pohon,Laban,1,65
56BB,56BB-43-02,400,Pohon,Kiara,1,179
56BB,56BB-43-02,400,Pohon,Mahoni,1,150
56BB,56BB-43-03,4,TB-semai,Parahulu,1,0
56BB,56BB-43-03,4,TB-semai,Bingbin,4,0
56BB,56BB-43-03,4,TB-semai,Heas,3,0
56BB,56BB-43-03,4,TB-semai,Harashas,2,0
56BB,56BB-43-03,4,TB-semai,Papakuan,3,0
56BB,56BB-43-03,4,TB-semai,Tuak kalapa,3,0
56BB,56BB-43-03,4,TB-semai,Patat,2,0
56BB,56BB-43-03,25,Pancang,Songgom,2,0
56BB,56BB-43-03,25,Pancang,Bingbin,3,0
56BB,56BB-43-03,25,Pancang,Huru,2,0
56BB,56BB-43-03,25,Pancang,Cangcaratan,4,0
56BB,56BB-43-03,25,Pancang,Ki teja,1,0
56BB,56BB-43-03,25,Pancang,Peuris,3,0
56BB,56BB-43-03,25,Pancang,Burung dahu,1,0
56BB,56BB-43-03,100,Tiang,Laban,1,39
56BB,56BB-43-03,400,Pohon,Laban,1,123
56BB,56BB-43-03,400,Pohon,Ki segel,1,91
56BB,56BB-43-03,400,Pohon,Laban,1,63
56BB,56BB-43-03,400,Pohon,Peuris,1,83
56BB,56BB-43-03,400,Pohon,Laban,1,76
56BB,56BB-43-03,400,Pohon,Peuris,1,67
56BB,56BB-43-03,400,Pohon,Mahoni,1,137
56BB,56BB-43-03,400,Pohon,Laban,1,130
56BB,56BB-43-03,400,Pohon,Laban,1,78
56BB,56BB-43-04,4,TB-semai,Jingjing kulit,4,0
56BB,56BB-43-04,4,TB-semai,Sulangkar,2,0
56BB,56BB-43-04,4,TB-semai,Ki teja,6,0
56BB,56BB-43-04,4,TB-semai,Harendong,2,0
56BB,56BB-43-04,4,TB-semai,Heas,3,0
56BB,56BB-43-04,4,TB-semai,Bingbin,1,0
